title,totalScore,reviewsCount,keywordScore,adjectiveScore,combinedScore,DatingScore,Rank
Fogo de Chão Brazilian Steakhouse,0.9047619047619047,0.8763973171510699,8,8,0.3,0.7148239570500828,1.0
Le Coucou,0.7619047619047619,0.27866496327052065,23,25,0.94,0.670361393743061,2.0
Daniel,0.8095238095238102,0.3473331204088151,5,33,0.74,0.6500094599321686,3.0
Nan Xiang Soup Dumplings - Flushing,0.7619047619047619,1.0,4,3,0.12000000000000001,0.6407619047619049,4.0
Supper Club By Le Petit Parisien,1.0,0.008463749600766528,16,24,0.78,0.6365391248802299,5.0
Majorelle,0.8095238095238106,0.03513254551261578,15,36,1.0,0.634349287463309,6.0
l’abeille,0.8095238095238098,0.0316192909613542,5,46,1.0,0.6332953110979302,7.0
Per Se,0.7619047619047619,0.28505269881826895,10,29,0.76,0.6182777144073854,8.0
Gramercy Tavern,0.8095238095238106,0.658096454806771,5,12,0.32,0.6172384602515556,9.0
THEP Thai Restaurant,0.8571428571428572,0.6686362184605558,10,3,0.24000000000000002,0.6154480083953096,10.0
Heidi's House by the side of the road,0.8095238095238106,0.05828808687320345,30,16,0.9,0.6112959498714854,11.0
Mello Bistro,1.0,0.01916320664324497,13,22,0.68,0.6097489619929735,12.0
Frevo,0.9047619047619042,0.09964867454487385,8,29,0.72,0.6077993642682239,13.0
Le Bernardin,0.8095238095238098,0.561801341424465,5,15,0.38,0.6063499262368635,14.0
ATOMIX,0.9047619047619047,0.06084318109230278,15,22,0.72,0.5961577162324527,15.0
Luthun,0.8571428571428572,0.03880549345257107,15,25,0.78,0.5884987908929142,16.0
Oda House UES,0.8095238095238098,0.24065793676141808,14,19,0.64,0.5880069048379494,17.0
Clover Hill,0.8095238095238102,0.03641009262216544,11,32,0.84,0.5867325515961737,18.0
COTE Korean Steakhouse,0.8095238095238098,0.560204407537528,6,9,0.27999999999999997,0.5758708460707823,19.0
The Modern,0.8095238095238102,0.37192590226764616,3,21,0.45999999999999996,0.573387294489818,20.0
Gabriel Kreuther,0.8095238095238106,0.183807090386458,8,24,0.62,0.5649516509254617,21.0
Tasca NYC,0.8095238095238098,0.045352922389013096,19,19,0.74,0.5594154005262278,22.0
Le Jardinier,0.7142857142857131,0.050463110827211756,12,32,0.86,0.5588532189624488,23.0
Essential by Christophe,0.9047619047619047,0.047748323219418715,6,25,0.6,0.5562292588705875,24.0
Jungsik,0.8571428571428572,0.12088789524113702,11,19,0.58,0.553123511429484,25.0
Eleven Madison Park,0.7142857142857135,0.4592781858831045,9,13,0.42,0.5494977414792168,26.0
Tanoreen,0.9047619047619051,0.44889811561801346,7,2,0.16,0.5445741965901661,27.0
Junoon,0.666666666666667,0.5661130629191952,12,7,0.36,0.5445005855424253,28.0
Kochi,0.8095238095238106,0.12871287128712872,9,22,0.6,0.5424233851956628,29.0
Marea,0.7619047619047619,0.4337272436921112,4,14,0.33999999999999997,0.5368800778695382,30.0
Table d'Hôte,0.8095238095238106,0.025231555413605878,11,24,0.68,0.535378990433606,31.0
Za-Ya,0.9047619047619051,0.025710635579687002,21,7,0.54,0.5316179525786682,32.0
El Tanque Trattoria Bar,0.9523809523809517,0.09421909932928776,16,4,0.38,0.5232181107511671,33.0
The Musket Room,0.7619047619047619,0.12488022995847972,10,20,0.58,0.5162259737494487,34.0
Tempura Matsui,0.9047619047619051,0.05126157777068029,8,16,0.45999999999999996,0.5152832352359661,35.0
Tinos,0.8571428571428572,0.02922389013094858,14,14,0.54,0.5136243098964275,36.0
Olive Garden Italian Restaurant,0.5714285714285712,0.7262855317789844,6,6,0.22,0.5124570881051238,37.0
Atera,0.8095238095238102,0.08415841584158416,9,19,0.54,0.5110570485619994,38.0
Trattoria L'incontro,0.8571428571428572,0.21846055573299267,5,13,0.33999999999999997,0.5103953095770407,39.0
Concrete Sicilian Eatery,0.8571428571428568,0.06866815713829448,15,10,0.48,0.5074575899986311,40.0
Mission Ceviche Upper East Side,0.7619047619047619,0.4145640370488662,6,8,0.26,0.5071311158765646,41.0
Hutong New York,0.5714285714285721,0.1443628233791121,16,24,0.78,0.5058802755851625,42.0
Saggio,0.7142857142857131,0.11370169274992016,18,14,0.62,0.5058247935392612,43.0
Jua,0.9047619047619047,0.08783136378153944,6,14,0.38,0.5022541710392237,44.0
Y&Y Sushi,0.9047619047619051,0.022995847971893964,9,14,0.44,0.5008035162963302,45.0
Vinum Tuscan Restaurant and Wine Bar,0.8095238095238106,0.062280421590546156,8,19,0.52,0.49849365028668813,46.0
Tabaré Bushwick,0.8095238095238102,0.061481954647077605,17,10,0.52,0.4982541102036474,47.0
The Milling Room,0.7142857142857131,0.15761737464068987,11,17,0.54,0.49499949810649224,48.0
Ai Fiori,0.7142857142857131,0.26844458639412333,5,17,0.42,0.49224766163252226,49.0
Rolo’s,0.7619047619047619,0.20009581603321622,13,9,0.42,0.49079064957186963,50.0
Meadowsweet,0.8095238095238106,0.1561801341424465,9,12,0.39999999999999997,0.4906635640522582,51.0
Terravita,0.8571428571428572,0.1322261258383903,10,8,0.33999999999999997,0.48452498060866,52.0
IL Postino,0.7142857142857131,0.04136058767167039,11,21,0.62,0.48412246201578635,53.0
Applebee's Grill + Bar,0.6190476190476186,0.41137016927499204,16,3,0.36,0.47903009840154503,54.0
BLUE MEZZE BAR,0.8571428571428572,0.20887895241137017,5,8,0.24000000000000002,0.47752082858055395,55.0
The Common,0.9047619047619047,0.08208240178856595,11,5,0.3,0.47652948244133164,56.0
La Cantine,0.8095238095238102,0.04599169594378793,12,12,0.45999999999999996,0.47560703259266046,57.0
Il Divo,0.7619047619047619,0.03481315873522836,11,16,0.52,0.47120585238247326,58.0
Aquavit,0.8095238095238106,0.17071223251357395,1,16,0.32,0.47102319356359645,59.0
JG Melon,0.6190476190476182,0.5370488661769404,7,4,0.2,0.4687337074721294,60.0
Tanoshi Sushi Sake Bar,0.8571428571428568,0.09405940594059406,8,9,0.32,0.46707496463932097,61.0
Soledad,0.8095238095238111,0.012296390929415523,9,15,0.45999999999999996,0.46549844108834904,62.0
Jean-Georges,0.7619047619047619,0.21079527307569468,2,15,0.32,0.46400048668461313,63.0
Café Boulud,0.7619047619047619,0.10970935803257745,3,19,0.42,0.463674712171678,64.0
Nur Thai,0.6666666666666665,0.19051421271159374,10,14,0.45999999999999996,0.4618209304801447,65.0
Piccola Cucina Uptown,0.8095238095238098,0.27866496327052065,6,4,0.18000000000000002,0.46140901279068014,66.0
Osteria Cotta,0.7142857142857135,0.17709996806132228,13,8,0.39999999999999997,0.4588442761326821,67.0
Chez Nick,0.8095238095238102,0.06595336953050143,9,11,0.38,0.45759553466867453,68.0
Reverence NYC - Reverence Fine Foods,0.8571428571428568,0.013254551261577771,6,13,0.36,0.4548335082356161,69.0
One White Street,0.7142857142857131,0.0434366017246886,9,18,0.52,0.45474526623169187,70.0
Ayat,0.8095238095238102,0.26684765250718623,5,4,0.16,0.4518638195616799,71.0
Lakruwana Restaurant,0.7619047619047619,0.14979239859469817,8,10,0.33999999999999997,0.45169962434031424,72.0
JoJo by Jean-Georges,0.6190476190476182,0.09900990099009901,11,19,0.58,0.451322017916077,73.0
Roberta's,0.7619047619047619,0.2898435004790802,8,2,0.18000000000000002,0.44571495490562885,74.0
La Voglia NYC,0.714285714285714,0.051421271159374005,2,23,0.48,0.44514066706209776,75.0
Suyo Gastrofusion,0.7619047619047619,0.16512296390929415,10,6,0.3,0.44429879393469307,76.0
Armani/Ristorante,0.7619047619047619,0.06387735547748323,9,12,0.39999999999999997,0.44392511140514973,77.0
Aska,0.8095238095238102,0.07058447780261898,6,11,0.32,0.4409848671503098,78.0
Nica Trattoria,0.8095238095238098,0.028265729798786332,10,9,0.36,0.4402892427491598,79.0
Campagnola,0.8095238095238106,0.06499520919833919,7,10,0.32,0.439308086569026,80.0
San Matteo Pizza & Espresso Bar,0.7619047619047619,0.13717662088789526,7,9,0.3,0.4359148910282734,81.0
The Local Eatery & Craft Beer,0.8571428571428563,0.027147876077930375,13,2,0.27999999999999997,0.43500150568052165,82.0
Sushi Ishikawa,0.8095238095238106,0.06563398275311402,8,8,0.3,0.43349971863545844,83.0
Coszcal De Allende,0.7142857142857135,0.05158096454806771,13,10,0.44,0.43318857507870573,84.0
53,0.666666666666667,0.07170233152347492,12,13,0.48,0.4321773661237093,85.0
Beets and Carrots,0.8571428571428568,0.05621207282018525,6,7,0.24000000000000002,0.4317207647031983,86.0
Le Chai,0.5238095238095237,0.019801980198019802,18,19,0.72,0.4314644035832155,87.0
Caviar Russe,0.7619047619047619,0.03896518684126477,5,15,0.38,0.4304514608142842,88.0
The Bar Room,0.7142857142857135,0.18013414244650272,8,8,0.3,0.42975452844823625,89.0
